name,density,surface tension,dynamic viscosity,kinematic viscosity
0,999,0.0727,0.00089,8.90891E-07
1,1257,0.0762,0.934,0.000743039
0.002,999.516,0.072707,0.000902468,9.02905E-07
0.004,1000.032,0.072714,0.908421107,0.000908392
0.006,1000.548,0.072721,0.000940695,9.4018E-07
0.008,1001.064,0.072728,0.859821917,0.000858908
0.01,1001.58,0.072735,0.001007068,1.00548E-06
0.012,1002.096,0.072742,0.792925369,0.000791267
0.014,1002.612,0.072749,0.001105618,1.10274E-06
0.016,1003.128,0.072756,0.713743682,0.000711518
0.018,1003.644,0.072763,0.001242178,1.23767E-06
0.02,1004.16,0.07277,0.628572114,0.000625968
0.022,1004.676,0.072777,0.001424543,1.41791E-06
0.024,1005.192,0.072784,0.543103754,0.000540299
0.026,1005.708,0.072791,0.001662597,1.65316E-06
0.028,1006.224,0.072798,0.461836364,0.00045898
0.03,1006.74,0.072805,0.001968331,1.95515E-06
0.032,1007.256,0.072812,0.387824861,0.000385031
0.034,1007.772,0.072819,0.002355659,2.33749E-06
0.036,1008.288,0.072826,0.322731093,0.000320078
0.038,1008.804,0.072833,0.002839933,2.81515E-06
0.04,1009.32,0.07284,0.267066552,0.0002646
0.042,1009.836,0.072847,0.00343706,3.40358E-06
0.044,1010.352,0.072854,0.220516188,0.000218257
0.046,1010.868,0.072861,0.00416218,4.11743E-06
0.048,1011.384,0.072868,0.182256377,0.000180205
0.05,1011.9,0.072875,0.005027926,4.9688E-06
0.052,1012.416,0.072882,0.151216595,0.000149362
0.054,1012.932,0.072889,0.006042439,5.9653E-06
0.056,1013.448,0.072896,0.126266974,0.000124591
0.058,1013.964,0.072903,0.007207369,7.10811E-06
0.06,1014.48,0.07291,0.106335675,0.000104818
0.062,1014.996,0.072917,0.008516256,8.39043E-06
0.064,1015.512,0.072924,0.090470597,8.90887E-05
0.066,1016.028,0.072931,0.009953637,9.79662E-06
0.068,1016.544,0.072938,0.077862386,7.65952E-05
0.07,1017.06,0.072945,0.011495186,1.13024E-05
0.072,1017.576,0.072952,0.06784366,6.66718E-05
0.074,1018.092,0.072959,0.013108998,1.2876E-05
0.076,1018.608,0.072966,0.059875595,5.87818E-05
0.078,1019.124,0.072973,0.0147579,1.4481E-05
0.08,1019.64,0.07298,0.053529332,5.24983E-05
0.082,1020.156,0.072987,0.016402464,1.60784E-05
0.084,1020.672,0.072994,0.048466591,4.7485E-05
0.086,1021.188,0.073001,0.018004247,1.76307E-05
0.088,1021.704,0.073008,0.044421839,4.34782E-05
0.09,1022.22,0.073015,0.01952877,1.91043E-05
0.092,1022.736,0.073022,0.04118696,4.02714E-05
0.094,1023.252,0.073029,0.020947822,2.04718E-05
0.096,1023.768,0.073036,0.038598652,3.77025E-05
0.098,1024.284,0.073043,0.022240848,2.17136E-05
0.1,1024.8,0.07305,0.03652835,3.56444E-05
0.102,1025.316,0.073057,0.023395383,2.28177E-05
0.104,1025.832,0.073064,0.034874346,3.39962E-05
0.106,1026.348,0.073071,0.024406641,2.37801E-05
0.108,1026.864,0.073078,0.033555698,3.26778E-05
0.11,1027.38,0.073085,0.02527647,2.46028E-05
0.112,1027.896,0.073092,0.032507584,3.16254E-05
0.114,1028.412,0.073099,0.026011956,2.52933E-05
0.116,1028.928,0.073106,0.031677765,3.07872E-05
0.118,1029.444,0.073113,0.026623897,2.58624E-05
0.12,1029.96,0.07312,0.031023914,3.01215E-05
0.122,1030.476,0.073127,0.027125357,2.63231E-05
0.124,1030.992,0.073134,0.030511585,2.95944E-05
0.126,1031.508,0.073141,0.027530413,2.66895E-05
0.128,1032.024,0.073148,0.030112673,2.91783E-05
0.13,1032.54,0.073155,0.02785316,2.69754E-05
0.132,1033.056,0.073162,0.029804225,2.88505E-05
0.134,1033.572,0.073169,0.028107002,2.7194E-05
0.136,1034.088,0.073176,0.029567515,2.85928E-05
0.138,1034.604,0.073183,0.028304179,2.73575E-05
0.14,1035.12,0.07319,0.029387309,2.83902E-05
0.142,1035.636,0.073197,0.028455517,2.74764E-05
0.144,1036.152,0.073204,0.029251274,2.82307E-05
0.146,1036.668,0.073211,0.028570334,2.75598E-05
0.148,1037.184,0.073218,0.029149481,2.81044E-05
0.15,1037.7,0.073225,0.028656467,2.76154E-05
0.152,1038.216,0.073232,0.029074,2.80038E-05
0.154,1038.732,0.073239,0.028720374,2.76495E-05
0.156,1039.248,0.073246,0.029018549,2.79226E-05
0.158,1039.764,0.073253,0.028767281,2.76671E-05
0.16,1040.28,0.07326,0.028978199,2.78562E-05
0.162,1040.796,0.073267,0.028801345,2.76724E-05
0.164,1041.312,0.073274,0.028949121,2.78006E-05
0.166,1041.828,0.073281,0.028825824,2.76685E-05
0.168,1042.344,0.073288,0.02892837,2.77532E-05
0.17,1042.86,0.073295,0.028843231,2.76578E-05
0.172,1043.376,0.073302,0.028913708,2.77117E-05
0.174,1043.892,0.073309,0.028855481,2.76422E-05
0.176,1044.408,0.073316,0.028903452,2.76745E-05
0.178,1044.924,0.073323,0.028864014,2.76231E-05
0.18,1045.44,0.07333,0.028896349,2.76404E-05
0.182,1045.956,0.073337,0.028869896,2.76014E-05
0.184,1046.472,0.073344,0.02889148,2.76085E-05
0.186,1046.988,0.073351,0.02887391,2.75781E-05
0.188,1047.504,0.073358,0.028888176,2.75781E-05
0.19,1048.02,0.073365,0.02887662,2.75535E-05
0.192,1048.536,0.073372,0.028885957,2.75488E-05
0.194,1049.052,0.073379,0.028878431,2.75281E-05
0.196,1049.568,0.073386,0.028884482,2.75204E-05
0.198,1050.084,0.073393,0.028879629,2.75022E-05
0.2,1050.6,0.0734,0.028883511,2.74924E-05
0.202,1051.116,0.073407,0.028880413,2.7476E-05
0.204,1051.632,0.073414,0.028882879,2.74648E-05
0.206,1052.148,0.073421,0.028880921,2.74495E-05
0.208,1052.664,0.073428,0.028882472,2.74375E-05
0.21,1053.18,0.073435,0.028881247,2.74229E-05
0.212,1053.696,0.073442,0.028882212,2.74104E-05
0.214,1054.212,0.073449,0.028881453,2.73962E-05
0.216,1054.728,0.073456,0.028882048,2.73834E-05
0.218,1055.244,0.073463,0.028881583,2.73696E-05
0.22,1055.76,0.07347,0.028881946,2.73565E-05
0.222,1056.276,0.073477,0.028881663,2.73429E-05
0.224,1056.792,0.073484,0.028881882,2.73298E-05
0.226,1057.308,0.073491,0.028881713,2.73163E-05
0.228,1057.824,0.073498,0.028881844,2.73031E-05
0.23,1058.34,0.073505,0.028881743,2.72897E-05
0.232,1058.856,0.073512,0.02888182,2.72764E-05
0.234,1059.372,0.073519,0.028881761,2.72631E-05
0.236,1059.888,0.073526,0.028881806,2.72499E-05
0.238,1060.404,0.073533,0.028881772,2.72366E-05
0.24,1060.92,0.07354,0.028881798,2.72234E-05
0.242,1061.436,0.073547,0.028881778,2.72101E-05
0.244,1061.952,0.073554,0.028881793,2.71969E-05
0.246,1062.468,0.073561,0.028881782,2.71837E-05
0.248,1062.984,0.073568,0.02888179,2.71705E-05
0.25,1063.5,0.073575,0.028881784,2.71573E-05
0.252,1064.016,0.073582,0.028881789,2.71441E-05
0.254,1064.532,0.073589,0.028881785,2.7131E-05
0.256,1065.048,0.073596,0.028881788,2.71178E-05
0.258,1065.564,0.073603,0.028881786,2.71047E-05
0.26,1066.08,0.07361,0.028881787,2.70916E-05
0.262,1066.596,0.073617,0.028881786,2.70785E-05
0.264,1067.112,0.073624,0.028881787,2.70654E-05
0.266,1067.628,0.073631,0.028881787,2.70523E-05
0.268,1068.144,0.073638,0.028881787,2.70392E-05
0.27,1068.66,0.073645,0.028881787,2.70262E-05
0.272,1069.176,0.073652,0.028881787,2.70131E-05
0.274,1069.692,0.073659,0.028881787,2.70001E-05
0.276,1070.208,0.073666,0.028881787,2.69871E-05
0.278,1070.724,0.073673,0.028881787,2.69741E-05
0.28,1071.24,0.07368,0.028881787,2.69611E-05
0.282,1071.756,0.073687,0.028881787,2.69481E-05
0.284,1072.272,0.073694,0.028881787,2.69351E-05
0.286,1072.788,0.073701,0.028881787,2.69222E-05
0.288,1073.304,0.073708,0.028881787,2.69092E-05
0.29,1073.82,0.073715,0.028881787,2.68963E-05
0.292,1074.336,0.073722,0.028881787,2.68834E-05
0.294,1074.852,0.073729,0.028881787,2.68705E-05
0.296,1075.368,0.073736,0.028881787,2.68576E-05
0.298,1075.884,0.073743,0.028881787,2.68447E-05
0.3,1076.4,0.07375,0.028881787,2.68318E-05
0.302,1076.916,0.073757,0.028881787,2.6819E-05
0.304,1077.432,0.073764,0.028881787,2.68061E-05
0.306,1077.948,0.073771,0.028881787,2.67933E-05
0.308,1078.464,0.073778,0.028881787,2.67805E-05
0.31,1078.98,0.073785,0.028881787,2.67677E-05
0.312,1079.496,0.073792,0.028881787,2.67549E-05
0.314,1080.012,0.073799,0.028881787,2.67421E-05
0.316,1080.528,0.073806,0.028881787,2.67293E-05
0.318,1081.044,0.073813,0.028881787,2.67166E-05
0.32,1081.56,0.07382,0.028881787,2.67038E-05
0.322,1082.076,0.073827,0.028881787,2.66911E-05
0.324,1082.592,0.073834,0.028881787,2.66784E-05
0.326,1083.108,0.073841,0.028881787,2.66657E-05
0.328,1083.624,0.073848,0.028881787,2.6653E-05
0.33,1084.14,0.073855,0.028881787,2.66403E-05
0.332,1084.656,0.073862,0.028881787,2.66276E-05
0.334,1085.172,0.073869,0.028881787,2.66149E-05
0.336,1085.688,0.073876,0.028881787,2.66023E-05
0.338,1086.204,0.073883,0.028881787,2.65897E-05
0.34,1086.72,0.07389,0.028881787,2.6577E-05
0.342,1087.236,0.073897,0.028881787,2.65644E-05
0.344,1087.752,0.073904,0.028881787,2.65518E-05
0.346,1088.268,0.073911,0.028881787,2.65392E-05
0.348,1088.784,0.073918,0.028881787,2.65266E-05
0.35,1089.3,0.073925,0.028881787,2.65141E-05
0.352,1089.816,0.073932,0.028881787,2.65015E-05
0.354,1090.332,0.073939,0.028881787,2.6489E-05
0.356,1090.848,0.073946,0.028881787,2.64765E-05
0.358,1091.364,0.073953,0.028881787,2.64639E-05
0.36,1091.88,0.07396,0.028881787,2.64514E-05
0.362,1092.396,0.073967,0.028881787,2.64389E-05
0.364,1092.912,0.073974,0.028881787,2.64265E-05
0.366,1093.428,0.073981,0.028881787,2.6414E-05
0.368,1093.944,0.073988,0.028881787,2.64015E-05
0.37,1094.46,0.073995,0.028881787,2.63891E-05
0.372,1094.976,0.074002,0.028881787,2.63766E-05
0.374,1095.492,0.074009,0.028881787,2.63642E-05
0.376,1096.008,0.074016,0.028881787,2.63518E-05
0.378,1096.524,0.074023,0.028881787,2.63394E-05
0.38,1097.04,0.07403,0.028881787,2.6327E-05
0.382,1097.556,0.074037,0.028881787,2.63146E-05
0.384,1098.072,0.074044,0.028881787,2.63023E-05
0.386,1098.588,0.074051,0.028881787,2.62899E-05
0.388,1099.104,0.074058,0.028881787,2.62776E-05
0.39,1099.62,0.074065,0.028881787,2.62652E-05
0.392,1100.136,0.074072,0.028881787,2.62529E-05
0.394,1100.652,0.074079,0.028881787,2.62406E-05
0.396,1101.168,0.074086,0.028881787,2.62283E-05
0.398,1101.684,0.074093,0.028881787,2.6216E-05
0.4,1102.2,0.0741,0.028881787,2.62038E-05
0.402,1102.716,0.074107,0.028881787,2.61915E-05
0.404,1103.232,0.074114,0.028881787,2.61793E-05
0.406,1103.748,0.074121,0.028881787,2.6167E-05
0.408,1104.264,0.074128,0.028881787,2.61548E-05
0.41,1104.78,0.074135,0.028881787,2.61426E-05
0.412,1105.296,0.074142,0.028881787,2.61304E-05
0.414,1105.812,0.074149,0.028881787,2.61182E-05
0.416,1106.328,0.074156,0.028881787,2.6106E-05
0.418,1106.844,0.074163,0.028881787,2.60938E-05
0.42,1107.36,0.07417,0.028881787,2.60817E-05
0.422,1107.876,0.074177,0.028881787,2.60695E-05
0.424,1108.392,0.074184,0.028881787,2.60574E-05
0.426,1108.908,0.074191,0.028881787,2.60453E-05
0.428,1109.424,0.074198,0.028881787,2.60331E-05
0.43,1109.94,0.074205,0.028881787,2.6021E-05
0.432,1110.456,0.074212,0.028881787,2.60089E-05
0.434,1110.972,0.074219,0.028881787,2.59969E-05
0.436,1111.488,0.074226,0.028881787,2.59848E-05
0.438,1112.004,0.074233,0.028881787,2.59727E-05
0.44,1112.52,0.07424,0.028881787,2.59607E-05
0.442,1113.036,0.074247,0.028881787,2.59487E-05
0.444,1113.552,0.074254,0.028881787,2.59366E-05
0.446,1114.068,0.074261,0.028881787,2.59246E-05
0.448,1114.584,0.074268,0.028881787,2.59126E-05
0.45,1115.1,0.074275,0.028881787,2.59006E-05
0.452,1115.616,0.074282,0.028881787,2.58886E-05
0.454,1116.132,0.074289,0.028881787,2.58767E-05
0.456,1116.648,0.074296,0.028881787,2.58647E-05
0.458,1117.164,0.074303,0.028881787,2.58528E-05
0.46,1117.68,0.07431,0.028881787,2.58408E-05
0.462,1118.196,0.074317,0.028881787,2.58289E-05
0.464,1118.712,0.074324,0.028881787,2.5817E-05
0.466,1119.228,0.074331,0.028881787,2.58051E-05
0.468,1119.744,0.074338,0.028881787,2.57932E-05
0.47,1120.26,0.074345,0.028881787,2.57813E-05
0.472,1120.776,0.074352,0.028881787,2.57695E-05
0.474,1121.292,0.074359,0.028881787,2.57576E-05
0.476,1121.808,0.074366,0.028881787,2.57457E-05
0.478,1122.324,0.074373,0.028881787,2.57339E-05
0.48,1122.84,0.07438,0.028881787,2.57221E-05
0.482,1123.356,0.074387,0.028881787,2.57103E-05
0.484,1123.872,0.074394,0.028881787,2.56985E-05
0.486,1124.388,0.074401,0.028881787,2.56867E-05
0.488,1124.904,0.074408,0.028881787,2.56749E-05
0.49,1125.42,0.074415,0.028881787,2.56631E-05
0.492,1125.936,0.074422,0.028881787,2.56514E-05
0.494,1126.452,0.074429,0.028881787,2.56396E-05
0.496,1126.968,0.074436,0.028881787,2.56279E-05
